representative,synonym,group_size
"trauma, severe and irreversible health damage, or even death","trauma, severe and irreversible health damage, or even death",2
"variable, and often ill-defined, potential for implantation and development to term","more than a million embryos annually with variable, and often ill-defined, potential for implantation and development to term",2
"variable, and often ill-defined, potential for implantation and development to term","variable, and often ill-defined, potential for implantation and development to term",2
more than a million new caregivers are required,more than a million new caregivers are required,1
mortality,mortality,1
mortality rates and suffering for both infant and mothers,mortality rates and suffering for both infant and mothers,1
mosaicism,mosaicism,1
most devices operate on electric or battery power,most devices operate on electric or battery power,1
most of the blastocysts fail to attach properly to the uterus,most of the blastocysts fail to attach properly to the uterus,1
most pedometers do not have the ability to record and store data,most pedometers do not have the ability to record and store data,1
most physically demanding part of using any type of mechanical lift device,most physically demanding part of using any type of mechanical lift device,1
motorized sitting to standing assistance devices are large,motorized sitting to standing assistance devices are large,1
mounting based exclusively on the separate arrangement of a set of independent straps usually generates problems,mounting based exclusively on the separate arrangement of a set of independent straps usually generates problems,1
move into walls and furniture,move into walls and furniture,1
movement difficulty,movement difficulty,1
moving from one surface to another,moving from one surface to another,1
"multiple causes such as injury, disease, partial paralysis, balance issues, excessive weight, advancing age and other limiting conditions","multiple causes such as injury, disease, partial paralysis, balance issues, excessive weight, advancing age and other limiting conditions",1
